property_name,address,price,original_index,rating,__v,price_range
Ondevilla Rental Room,"{'address': 'Panganiban Drive Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.621033, 'longitude': 123.200504}",1500,9,0.0,0.0,Budget Friendly
abucar aprartment,"{'address': '3rd Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.617256, 'longitude': 123.200626}",2000,1,0.0,0.0,Budget Friendly
Cortes BedSpace,"{'address': '3rd Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.618535, 'longitude': 123.201845}",2000,14,0.0,0.0,Budget Friendly
Abucar Room,"{'address': '2nd Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.617388, 'longitude': 123.200421}",2500,15,0.0,0.0,Budget Friendly
Becky miraña,"{'address': '3rd Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.618448, 'longitude': 123.201801}",3000,0,0.0,0.0,Budget Friendly
Zulueta apartment,"{'address': 'Canda Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.619088, 'longitude': 123.200554}",6000,3,0.0,0.0,Mid-Range
ACOB ,"{'address': '6th Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.616505, 'longitude': 123.201301}",6000,17,0.0,0.0,Mid-Range
Ria Apartment,"{'address': 'Abella Street San Roque, Camaligan, Camarines Sur, Philippines', 'latitude': 13.6218, 'longitude': 123.1815}",6500,6,0.0,0.0,Mid-Range
 Evelyn Kamensa,"{'address': '3rd Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.616836, 'longitude': 123.200189}",8500,16,0.0,0.0,Mid-Range
San felipe Grandvalle Deca 3,"{'address': 'Cokeville Road San Felipe, Naga City, Camarines Sur, Philippines', 'latitude': 13.646814, 'longitude': 123.204211}",9000,7,0.0,0.0,Mid-Range
TownHouse Fully Furnished,"{'address': 'Cararayan-San Isidro Road Cararayan, Naga City, Camarines Sur, Philippines', 'latitude': 13.630582, 'longitude': 123.225157}",14000,4,0.0,0.0,Premium
Jardinel,"{'address': '3rd Street Concepcion Pequeña, Naga City, Camarines Sur, Philippines', 'latitude': 13.615166, 'longitude': 123.198289}",15000,11,0.0,0.0,Premium
